date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-14,19.9,9.4,16.0,13.0,13.0,38.6,230,86,1006.6,95,7.39,1.68,Tokyo,35.68,139.69
2021-04-15,14.4,5.9,10.0,0.6,0.6,24.1,72,61,1021.3,55,25.17,3.85,Tokyo,35.68,139.69
2021-04-16,17.5,7.4,12.5,0.0,0.0,18.1,133,73,1026.5,79,15.71,2.79,Tokyo,35.68,139.69
2021-04-17,18.4,12.8,15.1,23.6,23.6,49.8,153,82,1017.2,100,6.66,1.69,Tokyo,35.68,139.69
2021-04-18,20.0,9.4,14.8,26.3,26.3,38.5,258,57,999.4,28,23.86,5.11,Tokyo,35.68,139.69
2021-04-19,20.0,7.7,13.5,0.0,0.0,31.9,269,52,1010.1,12,25.62,4.85,Tokyo,35.68,139.69
2021-04-20,21.5,7.8,14.6,0.0,0.0,26.6,218,66,1015.0,9,25.2,4.39,Tokyo,35.68,139.69
2021-04-21,23.8,12.0,16.7,0.0,0.0,36.6,352,44,1018.8,2,26.03,5.94,Tokyo,35.68,139.69
2021-04-22,25.6,9.6,16.6,0.0,0.0,48.1,348,36,1019.0,24,25.5,7.37,Tokyo,35.68,139.69
2021-04-23,18.6,7.1,12.6,0.0,0.0,19.9,61,61,1022.7,21,25.55,4.4,Tokyo,35.68,139.69
2021-04-24,19.8,7.1,13.9,0.0,0.0,24.5,178,63,1020.7,65,23.84,4.3,Tokyo,35.68,139.69
2021-04-25,21.5,10.8,15.8,0.5,0.5,41.1,318,59,1012.8,59,18.4,4.22,Tokyo,35.68,139.69
2021-04-26,18.1,7.2,12.5,0.0,0.0,40.6,356,37,1018.0,9,27.06,5.91,Tokyo,35.68,139.69
2021-04-27,18.5,7.7,13.5,0.0,0.0,31.0,181,57,1023.2,54,19.59,4.12,Tokyo,35.68,139.69
2021-04-28,23.0,9.4,17.2,0.0,0.0,39.5,214,61,1019.2,71,19.1,4.8,Tokyo,35.68,139.69
2021-04-29,18.1,16.1,16.9,40.7,40.7,40.9,190,84,1009.4,98,4.54,1.59,Tokyo,35.68,139.69
2021-04-30,22.6,12.2,17.8,2.2,2.2,38.7,238,69,1001.5,28,24.15,4.76,Tokyo,35.68,139.69
2021-05-01,21.5,12.1,16.8,0.6,0.6,46.1,184,74,1005.2,52,20.39,3.94,Tokyo,35.68,139.69
2021-05-02,21.4,11.4,16.3,2.1,2.1,41.6,284,65,999.7,43,21.42,4.75,Tokyo,35.68,139.69
2021-05-03,19.9,9.0,14.9,1.4,1.4,40.5,268,51,1012.6,24,24.37,5.09,Tokyo,35.68,139.69
2021-05-04,23.6,8.6,16.5,0.0,0.0,24.9,197,56,1017.0,44,27.1,5.42,Tokyo,35.68,139.69
2021-05-05,21.6,12.9,17.6,0.1,0.1,48.5,205,72,1015.8,92,8.26,3.14,Tokyo,35.68,139.69
2021-05-06,23.1,15.3,18.6,4.9,4.9,28.2,62,75,1016.1,79,20.75,3.92,Tokyo,35.68,139.69
2021-05-07,19.7,13.8,17.0,2.7,2.7,19.1,180,84,1013.1,94,7.75,1.65,Tokyo,35.68,139.69
2021-05-08,23.4,11.4,18.2,0.0,0.0,24.0,192,74,1005.5,71,21.02,4.23,Tokyo,35.68,139.69
2021-05-09,27.0,17.2,21.8,0.0,0.0,38.1,221,63,1001.8,52,21.67,5.63,Tokyo,35.68,139.69
2021-05-10,23.9,13.7,19.1,0.0,0.0,38.1,266,43,1009.5,60,25.82,6.65,Tokyo,35.68,139.69
2021-05-11,19.2,14.4,17.4,0.0,0.0,25.9,84,55,1015.4,92,11.67,3.41,Tokyo,35.68,139.69
2021-05-12,21.4,14.8,18.1,0.1,0.1,23.3,113,54,1020.9,100,16.77,4.28,Tokyo,35.68,139.69
2021-05-13,20.6,16.1,18.2,5.1,5.1,18.4,63,76,1016.9,99,7.43,1.96,Tokyo,35.68,139.69
2021-05-14,28.0,16.5,21.4,0.0,0.0,25.3,145,72,1012.8,42,26.4,5.39,Tokyo,35.68,139.69
2021-05-15,27.0,17.7,21.4,0.0,0.0,35.6,168,70,1017.8,74,23.67,5.37,Tokyo,35.68,139.69
2021-05-16,22.9,17.7,20.4,1.7,1.7,33.2,187,75,1014.4,88,14.1,3.49,Tokyo,35.68,139.69
2021-05-17,25.4,20.1,22.8,1.1,1.1,48.1,204,83,1003.7,98,5.75,2.43,Tokyo,35.68,139.69
2021-05-18,24.6,17.2,21.4,3.9,3.9,35.0,59,82,1008.2,100,8.28,2.33,Tokyo,35.68,139.69
2021-05-19,19.6,16.5,18.0,22.7,22.7,19.9,15,89,1011.4,95,3.83,1.02,Tokyo,35.68,139.69
2021-05-20,22.2,15.6,19.0,5.4,5.4,17.7,95,89,1014.2,98,11.85,2.24,Tokyo,35.68,139.69
2021-05-21,25.5,18.0,21.9,16.4,16.4,45.1,202,89,1004.9,99,7.23,1.93,Tokyo,35.68,139.69
2021-05-22,22.4,17.4,19.5,2.6,2.6,42.2,219,83,1003.4,90,7.87,2.1,Tokyo,35.68,139.69
2021-05-23,22.5,15.1,18.8,1.6,1.6,28.8,187,80,1006.8,35,23.31,3.99,Tokyo,35.68,139.69
2021-05-24,26.1,14.9,20.2,0.0,0.0,31.1,194,74,1006.6,83,22.46,4.75,Tokyo,35.68,139.69
2021-05-25,26.6,16.5,21.3,0.0,0.0,33.1,197,70,1001.8,32,24.6,5.28,Tokyo,35.68,139.69
2021-05-26,23.8,14.8,19.7,0.0,0.0,27.2,95,63,1008.1,77,22.04,4.74,Tokyo,35.68,139.69
2021-05-27,19.1,14.6,16.6,42.4,42.4,22.0,8,87,1005.7,100,3.07,0.91,Tokyo,35.68,139.69
2021-05-28,24.5,14.9,19.9,0.0,0.0,35.9,187,75,1003.7,99,19.81,4.39,Tokyo,35.68,139.69
2021-05-29,26.5,18.1,21.7,0.0,0.0,35.8,209,74,1000.7,74,19.27,4.58,Tokyo,35.68,139.69
2021-05-30,24.5,17.3,20.3,5.8,5.8,21.7,27,72,1006.8,53,21.52,4.31,Tokyo,35.68,139.69
2021-05-31,23.6,16.1,19.8,2.4,2.4,21.5,145,72,1012.6,41,25.15,4.69,Tokyo,35.68,139.69
2021-06-01,24.5,15.7,19.8,3.1,3.1,25.8,125,73,1016.7,28,25.65,4.79,Tokyo,35.68,139.69
2021-06-02,25.4,17.9,21.0,0.3,0.3,26.5,189,76,1018.6,98,17.9,3.84,Tokyo,35.68,139.69
2021-06-03,25.5,17.9,21.6,0.6,0.6,24.5,160,73,1015.9,71,23.27,4.86,Tokyo,35.68,139.69
2021-06-04,23.4,19.9,21.5,15.3,15.3,53.0,179,89,1002.3,100,3.97,1.44,Tokyo,35.68,139.69
2021-06-05,24.5,18.7,21.2,0.9,0.9,22.5,125,80,1003.7,97,13.68,2.93,Tokyo,35.68,139.69
2021-06-06,22.5,18.6,20.4,5.7,5.7,14.0,203,86,1008.8,98,7.19,1.58,Tokyo,35.68,139.69
2021-06-07,26.5,18.5,21.8,0.0,0.0,14.3,182,81,1013.7,90,15.5,3.18,Tokyo,35.68,139.69
2021-06-08,29.8,17.8,23.3,0.2,0.2,24.7,3,73,1013.3,51,24.29,5.29,Tokyo,35.68,139.69
2021-06-09,29.6,18.0,23.4,0.0,0.0,25.6,71,65,1016.0,5,28.23,6.15,Tokyo,35.68,139.69
2021-06-10,28.5,17.3,22.7,0.0,0.0,22.6,165,73,1019.4,8,27.68,5.68,Tokyo,35.68,139.69
2021-06-11,28.1,19.3,23.1,0.1,0.1,28.6,176,70,1019.8,74,26.19,5.79,Tokyo,35.68,139.69
2021-06-12,27.4,19.7,23.4,0.0,0.0,35.0,187,69,1017.0,83,23.35,5.58,Tokyo,35.68,139.69
2021-06-13,27.8,19.8,23.8,0.1,0.1,27.6,205,64,1011.5,100,12.86,4.08,Tokyo,35.68,139.69
2021-06-14,22.6,20.5,21.4,8.5,8.5,16.2,187,81,1007.7,91,9.24,2.12,Tokyo,35.68,139.69
2021-06-15,27.6,18.6,23.0,1.7,1.7,20.8,158,78,1006.7,52,22.85,4.61,Tokyo,35.68,139.69
2021-06-16,26.5,20.2,22.6,4.9,4.9,20.1,128,79,1007.4,99,14.81,3.25,Tokyo,35.68,139.69
2021-06-17,25.6,18.8,21.7,3.9,3.9,28.4,32,74,1006.1,69,18.15,4.07,Tokyo,35.68,139.69
2021-06-18,26.5,16.5,21.9,0.0,0.0,30.9,180,72,1005.0,64,25.3,5.14,Tokyo,35.68,139.69
2021-06-19,21.8,20.5,21.3,17.4,17.4,30.8,186,84,1002.4,100,3.7,1.65,Tokyo,35.68,139.69
2021-06-20,27.6,19.4,22.6,16.5,16.5,30.0,339,83,998.9,89,16.15,3.3,Tokyo,35.68,139.69
2021-06-21,25.5,19.9,22.3,0.4,0.4,19.2,160,81,1005.0,60,21.92,4.19,Tokyo,35.68,139.69
2021-06-22,26.0,19.2,22.5,0.3,0.3,16.8,147,78,1008.3,72,21.06,4.23,Tokyo,35.68,139.69
2021-06-23,24.1,19.3,21.5,2.1,2.1,14.8,62,81,1010.5,79,10.85,2.43,Tokyo,35.68,139.69
2021-06-24,25.5,17.8,22.0,3.0,3.0,18.8,139,81,1012.3,47,21.55,4.15,Tokyo,35.68,139.69
2021-06-25,26.5,20.5,23.1,1.1,1.1,17.1,150,79,1013.4,89,18.02,3.72,Tokyo,35.68,139.69
2021-06-26,28.0,19.0,23.4,0.7,0.7,19.4,162,77,1013.5,79,19.15,4.18,Tokyo,35.68,139.69
2021-06-27,27.0,21.2,23.5,0.9,0.9,17.6,93,79,1010.1,97,15.01,3.34,Tokyo,35.68,139.69
2021-06-28,29.0,19.5,24.1,2.5,2.5,20.8,88,75,1006.1,74,22.34,4.93,Tokyo,35.68,139.69
2021-06-29,27.5,19.7,22.6,30.0,30.0,31.6,5,83,1003.6,80,14.79,3.13,Tokyo,35.68,139.69
2021-06-30,23.8,18.7,21.3,2.7,2.7,19.4,72,83,1012.6,100,9.22,2.13,Tokyo,35.68,139.69
2021-07-01,23.0,20.4,21.5,56.6,56.6,17.3,94,91,1013.0,100,4.03,1.04,Tokyo,35.68,139.69
2021-07-02,21.5,20.1,20.8,95.4,95.4,17.7,5,97,1011.5,100,2.34,0.61,Tokyo,35.68,139.69
2021-07-03,24.5,20.3,21.9,95.6,95.6,25.0,41,90,1010.1,100,11.08,2.09,Tokyo,35.68,139.69
2021-07-04,21.6,19.5,20.4,16.7,16.7,13.8,69,90,1014.8,100,4.82,1.17,Tokyo,35.68,139.69
2021-07-05,26.0,19.8,22.2,2.8,2.8,17.3,16,89,1010.1,98,13.74,2.59,Tokyo,35.68,139.69
2021-07-06,27.9,20.8,24.4,2.3,2.3,11.0,102,88,1009.5,98,12.16,2.55,Tokyo,35.68,139.69
2021-07-07,28.5,23.6,25.5,2.7,2.7,15.8,119,87,1006.8,98,13.61,2.81,Tokyo,35.68,139.69
2021-07-08,25.0,22.0,23.2,34.0,34.0,16.3,74,93,1008.0,97,4.81,1.19,Tokyo,35.68,139.69
2021-07-09,27.6,22.1,24.4,26.5,26.5,14.7,110,91,1007.4,100,7.67,1.75,Tokyo,35.68,139.69
2021-07-10,31.0,23.0,26.6,0.0,0.0,32.9,62,85,1008.2,72,23.77,4.86,Tokyo,35.68,139.69
2021-07-11,29.2,22.7,25.5,7.7,7.7,16.8,3,86,1011.0,68,19.43,3.89,Tokyo,35.68,139.69
2021-07-12,29.9,22.1,25.6,0.7,0.7,16.6,190,85,1011.3,84,20.28,4.15,Tokyo,35.68,139.69
2021-07-13,27.5,21.9,24.3,28.1,28.1,12.8,48,86,1012.8,92,16.69,3.31,Tokyo,35.68,139.69
2021-07-14,27.8,22.0,24.3,8.8,8.8,19.5,97,87,1016.1,97,16.04,3.2,Tokyo,35.68,139.69
2021-07-15,29.1,22.4,25.6,4.1,4.1,16.7,167,83,1019.0,82,22.08,4.41,Tokyo,35.68,139.69
2021-07-16,31.0,23.1,26.4,1.9,1.9,17.8,184,82,1019.8,67,24.23,5.05,Tokyo,35.68,139.69
2021-07-17,30.9,22.8,26.1,0.0,0.0,21.5,187,82,1017.7,18,27.15,5.52,Tokyo,35.68,139.69
2021-07-18,30.6,22.9,26.5,0.0,0.0,29.3,191,82,1015.7,6,27.42,5.51,Tokyo,35.68,139.69
2021-07-19,32.2,23.2,27.1,0.0,0.0,22.1,200,84,1015.2,29,25.33,5.27,Tokyo,35.68,139.69
2021-07-20,31.5,24.0,27.0,0.0,0.0,22.0,191,82,1015.4,63,25.22,5.32,Tokyo,35.68,139.69
2021-07-21,31.8,23.4,27.1,0.0,0.0,20.5,190,79,1014.5,40,26.47,5.66,Tokyo,35.68,139.69
2021-07-22,31.9,23.9,27.3,0.0,0.0,24.9,185,77,1012.9,27,26.29,5.79,Tokyo,35.68,139.69
2021-07-23,31.5,24.4,27.6,0.1,0.1,22.4,177,77,1011.4,41,24.82,5.57,Tokyo,35.68,139.69
2021-07-24,31.6,24.4,27.8,1.5,1.5,17.5,147,75,1011.3,29,23.63,5.22,Tokyo,35.68,139.69
2021-07-25,32.5,23.4,27.8,0.2,0.2,22.9,104,72,1010.1,13,25.24,5.82,Tokyo,35.68,139.69
2021-07-26,33.0,23.6,27.1,0.6,0.6,28.4,45,66,1004.6,71,20.25,5.51,Tokyo,35.68,139.69
2021-07-27,27.9,22.9,25.4,11.1,11.1,32.6,335,78,997.8,67,10.97,3.09,Tokyo,35.68,139.69
2021-07-28,31.1,23.8,27.3,1.4,1.4,28.6,193,80,999.9,41,22.79,5.01,Tokyo,35.68,139.69
2021-07-29,30.4,23.1,26.7,4.5,4.5,29.7,190,83,1002.4,74,19.69,4.41,Tokyo,35.68,139.69
2021-07-30,29.4,24.0,26.2,11.5,11.5,20.5,162,85,1002.4,88,15.03,3.19,Tokyo,35.68,139.69
2021-07-31,30.5,23.2,26.3,4.5,4.5,21.1,64,80,1002.5,59,19.34,4.31,Tokyo,35.68,139.69
2021-08-01,32.2,24.8,28.0,0.1,0.1,28.1,180,78,1003.0,22,24.87,5.56,Tokyo,35.68,139.69
2021-08-02,32.0,25.5,28.1,2.5,2.5,25.7,158,79,1008.5,69,20.64,4.79,Tokyo,35.68,139.69
2021-08-03,31.9,25.5,28.3,2.4,2.4,32.4,181,79,1012.4,38,23.5,5.49,Tokyo,35.68,139.69
2021-08-04,33.6,25.0,28.5,0.0,0.0,24.3,189,78,1011.2,20,23.86,5.49,Tokyo,35.68,139.69
2021-08-05,33.7,23.2,28.2,0.0,0.0,18.4,135,74,1008.1,34,25.75,6.04,Tokyo,35.68,139.69
2021-08-06,34.5,24.4,28.9,0.9,0.9,22.0,151,74,1007.0,38,23.97,5.84,Tokyo,35.68,139.69
2021-08-07,31.6,25.6,28.0,7.9,7.9,21.1,108,80,1005.9,71,14.45,3.53,Tokyo,35.68,139.69
2021-08-08,28.1,24.8,26.1,59.2,59.2,35.8,358,89,1000.7,99,2.23,1.2,Tokyo,35.68,139.69
2021-08-09,30.1,26.3,27.9,3.4,3.4,58.2,196,83,998.4,76,20.62,4.62,Tokyo,35.68,139.69
2021-08-10,35.2,25.1,29.3,0.0,0.0,61.7,231,66,998.2,34,23.45,7.03,Tokyo,35.68,139.69
2021-08-11,32.1,24.5,27.9,0.2,0.2,25.7,210,67,1010.4,73,20.7,5.32,Tokyo,35.68,139.69
2021-08-12,28.8,23.6,25.7,3.9,3.9,18.7,54,85,1011.4,100,13.27,3.01,Tokyo,35.68,139.69
2021-08-13,25.7,21.2,23.0,25.0,25.0,42.6,74,90,1010.4,100,4.04,1.19,Tokyo,35.68,139.69
2021-08-14,26.0,20.2,22.9,53.7,53.7,40.2,312,92,1005.9,100,3.08,0.99,Tokyo,35.68,139.69
2021-08-15,21.6,18.8,20.2,63.6,63.6,24.4,346,91,1011.6,100,3.16,0.9,Tokyo,35.68,139.69
2021-08-16,22.8,19.8,21.1,6.1,6.1,18.9,350,90,1016.9,100,4.65,1.15,Tokyo,35.68,139.69
2021-08-17,26.7,20.6,23.6,5.8,5.8,32.0,166,90,1015.3,94,8.95,1.97,Tokyo,35.68,139.69
2021-08-18,29.8,24.7,26.7,0.3,0.3,45.6,193,83,1011.4,25,21.5,4.69,Tokyo,35.68,139.69
2021-08-19,30.8,24.2,27.0,0.0,0.0,37.8,194,80,1015.0,24,24.31,5.33,Tokyo,35.68,139.69
2021-08-20,31.2,24.2,27.1,0.0,0.0,32.1,196,79,1017.0,31,23.5,5.28,Tokyo,35.68,139.69
2021-08-21,30.3,22.9,26.2,0.0,0.0,22.5,211,84,1015.3,75,14.58,3.33,Tokyo,35.68,139.69
2021-08-22,30.8,24.3,27.3,0.0,0.0,22.6,212,83,1011.7,95,17.2,3.81,Tokyo,35.68,139.69
2021-08-23,28.5,24.4,26.2,1.3,1.3,17.5,48,89,1010.2,83,11.98,2.49,Tokyo,35.68,139.69
2021-08-24,29.8,23.2,26.4,0.6,0.6,27.7,178,84,1010.1,95,13.27,3.27,Tokyo,35.68,139.69
2021-08-25,32.2,24.8,27.8,0.2,0.2,20.1,224,85,1008.6,98,10.99,2.65,Tokyo,35.68,139.69
2021-08-26,33.2,25.5,29.3,0.7,0.7,11.1,306,80,1011.1,68,20.61,4.58,Tokyo,35.68,139.69
2021-08-27,33.0,25.5,28.8,0.2,0.2,20.7,63,77,1011.4,44,21.75,5.01,Tokyo,35.68,139.69
2021-08-28,33.5,25.1,28.8,0.0,0.0,17.7,174,78,1010.4,14,22.2,5.02,Tokyo,35.68,139.69
2021-08-29,31.8,25.3,28.1,0.3,0.3,22.6,87,76,1011.9,55,16.72,4.29,Tokyo,35.68,139.69
2021-08-30,32.7,24.5,28.6,0.2,0.2,31.8,210,75,1012.2,53,20.8,4.86,Tokyo,35.68,139.69
2021-08-31,30.5,23.8,26.7,3.2,3.2,29.3,53,72,1013.5,86,12.29,3.41,Tokyo,35.68,139.69
2021-09-01,24.2,18.6,21.5,4.7,4.7,25.4,18,82,1012.7,100,5.07,1.6,Tokyo,35.68,139.69
2021-09-02,20.8,18.1,19.5,38.1,38.1,21.0,4,90,1009.4,100,3.05,0.93,Tokyo,35.68,139.69
2021-09-03,21.8,19.4,20.5,17.1,17.1,19.0,340,89,1011.0,100,4.11,1.11,Tokyo,35.68,139.69
2021-09-04,24.1,19.9,21.3,9.8,9.8,26.3,21,89,1013.7,100,5.47,1.38,Tokyo,35.68,139.69
2021-09-05,23.8,19.0,20.9,1.6,1.6,23.1,13,85,1016.6,86,7.88,1.9,Tokyo,35.68,139.69
2021-09-06,22.1,18.4,20.0,16.3,16.3,23.8,13,84,1016.9,80,10.08,2.15,Tokyo,35.68,139.69
2021-09-07,23.1,16.8,19.7,0.2,0.2,19.6,33,75,1017.4,66,16.03,3.28,Tokyo,35.68,139.69
2021-09-08,24.4,16.2,20.2,6.4,6.4,14.0,350,82,1015.3,86,13.13,2.54,Tokyo,35.68,139.69
2021-09-09,22.6,18.0,19.9,29.6,29.6,16.3,356,92,1013.0,82,5.83,1.18,Tokyo,35.68,139.69
2021-09-10,27.8,20.8,24.1,0.3,0.3,19.2,195,81,1013.2,42,20.35,4.08,Tokyo,35.68,139.69
2021-09-11,27.5,22.3,24.4,1.8,1.8,13.7,158,86,1012.2,79,12.0,2.53,Tokyo,35.68,139.69
2021-09-12,25.2,21.8,23.3,2.8,2.8,14.4,313,92,1011.8,99,5.98,1.33,Tokyo,35.68,139.69
2021-09-13,28.2,20.9,23.9,0.0,0.0,22.2,55,77,1015.5,100,14.63,3.52,Tokyo,35.68,139.69
2021-09-14,25.5,19.0,22.2,5.6,5.6,16.6,116,82,1018.0,100,9.91,2.15,Tokyo,35.68,139.69
2021-09-15,25.8,18.0,21.5,5.6,5.6,21.7,29,83,1014.4,66,15.72,3.02,Tokyo,35.68,139.69
2021-09-16,24.6,18.1,20.9,0.5,0.5,21.9,29,80,1017.0,69,14.07,3.0,Tokyo,35.68,139.69
2021-09-17,24.8,17.7,21.1,2.0,2.0,16.0,33,81,1016.2,97,10.78,2.38,Tokyo,35.68,139.69
2021-09-18,27.1,22.6,24.5,18.6,18.6,41.5,174,87,1007.8,98,8.53,2.14,Tokyo,35.68,139.69
2021-09-19,27.3,17.9,23.1,0.0,0.0,27.0,19,73,1012.1,48,20.78,4.54,Tokyo,35.68,139.69
2021-09-20,26.3,15.6,20.6,0.0,0.0,21.6,25,77,1017.4,4,21.31,4.08,Tokyo,35.68,139.69
2021-09-21,26.5,17.8,21.6,0.0,0.0,16.8,40,80,1016.5,35,18.96,3.64,Tokyo,35.68,139.69
2021-09-22,28.0,18.7,23.7,0.0,0.0,34.4,191,87,1011.2,57,17.28,3.41,Tokyo,35.68,139.69
2021-09-23,29.4,21.9,25.3,0.1,0.1,25.6,68,81,1011.5,51,16.12,3.45,Tokyo,35.68,139.69
2021-09-24,28.6,20.1,24.1,0.0,0.0,18.7,36,72,1017.8,54,17.41,3.74,Tokyo,35.68,139.69
2021-09-25,23.5,18.6,21.2,2.8,2.8,25.2,39,78,1023.9,89,9.19,2.4,Tokyo,35.68,139.69
2021-09-26,21.0,17.0,19.0,0.7,0.7,15.9,359,80,1022.7,85,6.0,1.65,Tokyo,35.68,139.69
2021-09-27,24.0,16.3,19.5,1.3,1.3,23.6,13,78,1018.8,44,14.81,3.07,Tokyo,35.68,139.69
2021-09-28,23.8,16.5,19.9,0.8,0.8,19.9,8,77,1017.8,55,13.6,2.89,Tokyo,35.68,139.69
2021-09-29,26.1,16.1,21.1,0.0,0.0,18.9,65,81,1015.9,32,17.87,3.42,Tokyo,35.68,139.69
2021-09-30,27.4,18.5,22.7,4.5,4.5,23.1,152,85,1010.6,83,13.65,2.78,Tokyo,35.68,139.69
2021-10-01,22.0,18.0,19.4,77.6,77.6,59.5,1,86,1000.3,87,1.15,1.22,Tokyo,35.68,139.69
2021-10-02,28.7,15.9,22.1,1.1,1.1,22.3,270,76,1007.9,13,18.48,3.92,Tokyo,35.68,139.69
2021-10-03,25.9,17.1,21.2,0.0,0.0,17.9,42,81,1022.8,14,18.08,3.35,Tokyo,35.68,139.69
2021-10-04,27.0,17.0,22.2,0.0,0.0,27.6,199,82,1025.2,11,18.59,3.67,Tokyo,35.68,139.69
2021-10-05,26.8,18.4,22.6,0.0,0.0,19.2,213,83,1020.3,41,17.98,3.53,Tokyo,35.68,139.69
2021-10-06,27.1,17.4,21.6,0.0,0.0,24.4,45,79,1017.0,70,15.87,3.32,Tokyo,35.68,139.69
2021-10-07,23.6,18.6,20.8,0.9,0.9,18.4,149,85,1020.3,84,8.68,1.83,Tokyo,35.68,139.69
2021-10-08,26.8,18.8,23.0,0.4,0.4,18.6,198,83,1020.5,20,17.4,3.41,Tokyo,35.68,139.69
2021-10-09,25.2,19.7,21.8,3.1,3.1,26.8,47,88,1025.1,77,10.85,2.21,Tokyo,35.68,139.69
2021-10-10,25.1,18.8,21.1,1.7,1.7,17.0,248,85,1024.7,51,11.86,2.39,Tokyo,35.68,139.69
2021-10-11,27.1,19.6,22.8,0.0,0.0,23.5,206,82,1018.3,9,17.38,3.37,Tokyo,35.68,139.69
2021-10-12,21.7,18.7,20.4,3.1,3.1,24.0,27,86,1022.9,98,4.15,1.3,Tokyo,35.68,139.69
2021-10-13,19.5,16.9,17.9,8.4,8.4,20.9,1,88,1023.3,100,4.76,1.16,Tokyo,35.68,139.69
2021-10-14,22.8,14.4,18.5,0.3,0.3,16.4,17,82,1018.4,34,14.07,2.45,Tokyo,35.68,139.69
2021-10-15,24.0,15.9,19.9,0.1,0.1,12.7,146,84,1015.8,52,13.18,2.45,Tokyo,35.68,139.69
2021-10-16,24.4,17.7,20.8,1.6,1.6,31.7,181,88,1013.2,56,9.49,2.0,Tokyo,35.68,139.69
2021-10-17,21.1,11.4,15.9,18.2,18.2,38.5,356,79,1012.8,95,1.86,1.35,Tokyo,35.68,139.69
2021-10-18,17.6,8.6,12.4,0.0,0.0,20.1,18,67,1023.2,32,15.71,2.77,Tokyo,35.68,139.69
2021-10-19,15.6,10.4,12.8,4.3,4.3,21.9,331,79,1016.4,100,4.62,1.31,Tokyo,35.68,139.69
2021-10-20,20.7,9.6,14.6,0.2,0.2,38.4,335,67,1007.6,14,16.01,3.81,Tokyo,35.68,139.69
2021-10-21,18.1,10.2,13.9,0.0,0.0,33.1,352,60,1016.0,82,12.78,3.03,Tokyo,35.68,139.69
2021-10-22,12.2,10.4,11.1,17.7,17.7,21.6,342,85,1016.5,100,2.08,0.77,Tokyo,35.68,139.69
2021-10-23,17.9,8.4,12.6,0.0,0.0,40.5,340,65,1019.5,14,15.51,3.31,Tokyo,35.68,139.69
2021-10-24,18.0,6.2,12.5,0.0,0.0,13.9,39,68,1026.7,31,15.73,2.51,Tokyo,35.68,139.69
2021-10-25,15.9,8.1,12.0,3.0,3.0,25.5,339,80,1024.5,88,5.81,1.4,Tokyo,35.68,139.69
2021-10-26,19.2,12.1,14.7,25.2,25.2,40.6,351,78,1014.6,51,11.92,2.3,Tokyo,35.68,139.69
2021-10-27,16.4,9.4,13.3,4.6,4.6,12.3,349,92,1016.8,88,4.49,0.74,Tokyo,35.68,139.69
2021-10-28,21.4,12.3,15.9,0.8,0.8,33.1,347,74,1016.0,34,14.66,3.05,Tokyo,35.68,139.69
2021-10-29,18.5,9.6,13.3,0.0,0.0,33.6,3,65,1020.5,1,15.12,3.08,Tokyo,35.68,139.69
2021-10-30,18.1,6.9,12.6,0.0,0.0,12.0,350,71,1025.4,20,14.77,2.3,Tokyo,35.68,139.69
2021-10-31,15.9,9.9,12.8,2.6,2.6,15.8,342,84,1024.6,91,5.73,1.11,Tokyo,35.68,139.69
2021-11-01,20.5,10.1,15.2,0.0,0.0,13.8,10,86,1020.5,76,12.03,1.89,Tokyo,35.68,139.69
2021-11-02,20.8,14.2,16.6,0.6,0.6,14.8,18,85,1015.6,81,10.89,1.91,Tokyo,35.68,139.69
2021-11-03,20.6,12.5,15.6,0.0,0.0,19.5,347,72,1012.7,39,13.99,2.62,Tokyo,35.68,139.69
2021-11-04,18.9,9.6,14.1,0.0,0.0,16.5,360,67,1014.6,35,13.6,2.36,Tokyo,35.68,139.69
2021-11-05,18.7,9.0,13.4,0.0,0.0,15.7,16,74,1017.7,6,13.74,2.33,Tokyo,35.68,139.69
2021-11-06,18.0,7.9,12.7,0.0,0.0,15.1,7,78,1021.1,42,13.6,2.15,Tokyo,35.68,139.69
2021-11-07,19.4,10.6,13.9,0.6,0.6,19.8,4,81,1023.7,90,10.83,1.92,Tokyo,35.68,139.69
2021-11-08,20.0,11.4,14.7,6.6,6.6,24.9,1,81,1022.1,52,10.68,1.85,Tokyo,35.68,139.69
2021-11-09,19.7,13.0,15.8,30.9,30.9,20.8,326,91,1006.5,85,2.75,0.62,Tokyo,35.68,139.69
2021-11-10,18.7,11.9,15.0,0.2,0.2,43.6,226,65,1001.0,34,11.3,2.91,Tokyo,35.68,139.69
2021-11-11,18.8,7.8,13.2,0.0,0.0,28.0,222,60,1004.7,1,13.28,3.02,Tokyo,35.68,139.69
2021-11-12,19.0,8.8,12.2,0.0,0.0,26.6,327,69,1009.1,37,12.51,2.42,Tokyo,35.68,139.69
2021-11-13,16.5,6.6,11.1,0.0,0.0,14.6,193,69,1016.8,14,12.95,2.18,Tokyo,35.68,139.69
2021-11-14,17.8,6.1,11.6,0.0,0.0,14.9,321,76,1017.4,50,11.23,1.74,Tokyo,35.68,139.69
2021-11-15,18.8,7.2,11.9,0.0,0.0,13.9,311,71,1017.1,0,12.74,2.14,Tokyo,35.68,139.69
2021-11-16,17.1,8.1,12.2,0.2,0.2,17.5,355,79,1019.3,55,10.68,1.75,Tokyo,35.68,139.69
